data,cidade,latitude,longitude,temp_media,temp_max,temp_min,precipitacao,umidade,vento,radiacao_solar,ano,mes,risco_calor,risco_seca,risco_radiacao,risco_umidade,indice_risco_climatico,classificacao_risco
2015-01-01,Petrolina/PE,-9.3986,-40.5008,28.95,36.32,22.59,0.0,46.6,4.0,21.48,2015,1,True,True,False,True,3,Alto
2015-01-02,Petrolina/PE,-9.3986,-40.5008,28.66,35.24,22.12,0.04,52.15,3.08,22.42,2015,1,True,False,False,False,1,Baixo
2015-01-03,Petrolina/PE,-9.3986,-40.5008,29.33,36.77,21.6,0.02,45.21,3.56,27.14,2015,1,True,False,True,True,3,Alto
2015-01-04,Petrolina/PE,-9.3986,-40.5008,28.59,35.39,21.59,0.0,43.05,3.54,26.02,2015,1,True,True,True,True,4,Alto
2015-01-05,Petrolina/PE,-9.3986,-40.5008,28.42,34.44,22.31,0.0,49.65,3.71,23.58,2015,1,False,True,False,True,2,Médio
2015-01-06,Petrolina/PE,-9.3986,-40.5008,28.57,34.45,23.62,0.0,51.21,3.58,25.67,2015,1,False,True,True,False,2,Médio
2015-01-07,Petrolina/PE,-9.3986,-40.5008,28.82,35.4,22.05,0.01,49.28,4.53,21.07,2015,1,True,False,False,True,2,Médio
2015-01-08,Petrolina/PE,-9.3986,-40.5008,28.31,34.68,22.56,0.05,52.64,4.83,21.93,2015,1,False,False,False,False,0,Baixo
2015-01-09,Petrolina/PE,-9.3986,-40.5008,28.63,36.12,21.32,0.02,49.48,4.55,27.37,2015,1,True,False,True,True,3,Alto
2015-01-10,Petrolina/PE,-9.3986,-40.5008,29.04,36.7,21.41,0.0,47.25,4.55,27.62,2015,1,True,True,True,True,4,Alto
2015-01-11,Petrolina/PE,-9.3986,-40.5008,29.7,37.35,22.31,0.01,47.73,4.8,26.86,2015,1,True,False,True,True,3,Alto
2015-01-12,Petrolina/PE,-9.3986,-40.5008,29.25,36.12,23.0,0.0,48.37,4.91,25.19,2015,1,True,True,True,True,4,Alto
2015-01-13,Petrolina/PE,-9.3986,-40.5008,27.55,33.86,21.74,0.0,48.11,4.58,26.11,2015,1,False,True,True,True,3,Alto
2015-01-14,Petrolina/PE,-9.3986,-40.5008,29.04,36.02,21.88,0.0,46.73,4.07,26.77,2015,1,True,True,True,True,4,Alto
2015-01-15,Petrolina/PE,-9.3986,-40.5008,28.9,35.68,21.92,0.0,46.81,4.3,23.6,2015,1,True,True,False,True,3,Alto
2015-01-16,Petrolina/PE,-9.3986,-40.5008,29.16,36.24,21.68,0.0,45.42,3.96,25.64,2015,1,True,True,True,True,4,Alto
2015-01-17,Petrolina/PE,-9.3986,-40.5008,29.98,36.74,22.51,0.0,42.59,3.87,27.61,2015,1,True,True,True,True,4,Alto
2015-01-18,Petrolina/PE,-9.3986,-40.5008,30.06,37.18,22.93,0.0,43.7,3.98,27.68,2015,1,True,True,True,True,4,Alto
2015-01-19,Petrolina/PE,-9.3986,-40.5008,29.87,36.98,22.29,0.08,43.55,4.35,27.68,2015,1,True,False,True,True,3,Alto
2015-01-20,Petrolina/PE,-9.3986,-40.5008,29.95,37.19,22.42,0.0,42.64,3.97,26.15,2015,1,True,True,True,True,4,Alto
2015-01-21,Petrolina/PE,-9.3986,-40.5008,28.54,33.57,22.81,0.0,49.08,3.09,20.12,2015,1,False,True,False,True,2,Médio
2015-01-22,Petrolina/PE,-9.3986,-40.5008,27.26,31.21,24.17,2.1,56.75,2.73,18.14,2015,1,False,False,False,False,0,Baixo
2015-01-23,Petrolina/PE,-9.3986,-40.5008,27.65,34.41,22.07,1.37,51.09,3.84,22.22,2015,1,False,False,False,False,0,Baixo
2015-01-24,Petrolina/PE,-9.3986,-40.5008,28.37,35.41,21.47,0.46,51.3,3.99,22.41,2015,1,True,False,False,False,1,Baixo
2015-01-25,Petrolina/PE,-9.3986,-40.5008,26.9,33.04,22.24,1.5,60.65,3.11,18.94,2015,1,False,False,False,False,0,Baixo
2015-01-26,Petrolina/PE,-9.3986,-40.5008,27.54,33.68,22.56,0.06,55.03,2.35,23.64,2015,1,False,False,False,False,0,Baixo
2015-01-27,Petrolina/PE,-9.3986,-40.5008,28.58,36.32,21.39,0.0,46.56,3.84,26.9,2015,1,True,True,True,True,4,Alto
2015-01-28,Petrolina/PE,-9.3986,-40.5008,28.72,36.89,21.04,0.0,45.6,4.45,29.8,2015,1,True,True,True,True,4,Alto
2015-01-29,Petrolina/PE,-9.3986,-40.5008,28.84,37.07,20.77,0.0,45.72,4.05,29.3,2015,1,True,True,True,True,4,Alto
2015-01-30,Petrolina/PE,-9.3986,-40.5008,30.08,36.84,23.47,0.01,52.12,3.66,21.76,2015,1,True,False,False,False,1,Baixo
2015-01-31,Petrolina/PE,-9.3986,-40.5008,29.68,36.61,23.62,0.0,49.18,4.04,22.97,2015,1,True,True,False,True,3,Alto
2015-02-01,Petrolina/PE,-9.3986,-40.5008,29.36,35.78,23.0,0.0,49.53,4.46,18.12,2015,2,True,True,False,True,3,Alto
2015-02-02,Petrolina/PE,-9.3986,-40.5008,29.65,36.42,22.63,0.0,46.9,4.27,23.02,2015,2,True,True,False,True,3,Alto
2015-02-03,Petrolina/PE,-9.3986,-40.5008,27.84,33.72,23.69,1.22,56.19,3.19,20.35,2015,2,False,False,False,False,0,Baixo
2015-02-04,Petrolina/PE,-9.3986,-40.5008,24.29,27.54,21.45,4.61,76.68,2.18,9.8,2015,2,False,False,False,False,0,Baixo
2015-02-05,Petrolina/PE,-9.3986,-40.5008,26.76,34.14,19.88,3.18,63.3,2.02,18.66,2015,2,False,False,False,False,0,Baixo
2015-02-06,Petrolina/PE,-9.3986,-40.5008,28.92,35.98,21.65,0.36,54.78,2.43,21.47,2015,2,True,False,False,False,1,Baixo
2015-02-07,Petrolina/PE,-9.3986,-40.5008,28.6,34.84,22.87,0.06,51.52,2.79,22.54,2015,2,False,False,False,False,0,Baixo
2015-02-08,Petrolina/PE,-9.3986,-40.5008,29.2,36.33,22.59,0.01,49.49,4.08,23.23,2015,2,True,False,False,True,2,Médio
2015-02-09,Petrolina/PE,-9.3986,-40.5008,28.99,36.69,21.66,0.03,49.85,4.87,26.65,2015,2,True,False,True,True,3,Alto
2015-02-10,Petrolina/PE,-9.3986,-40.5008,28.91,36.7,21.14,0.01,47.86,4.6,28.78,2015,2,True,False,True,True,3,Alto
2015-02-11,Petrolina/PE,-9.3986,-40.5008,29.41,36.77,22.33,0.0,49.16,4.96,26.74,2015,2,True,True,True,True,4,Alto
2015-02-12,Petrolina/PE,-9.3986,-40.5008,29.72,36.64,22.74,0.03,49.37,4.17,25.2,2015,2,True,False,True,True,3,Alto
2015-02-13,Petrolina/PE,-9.3986,-40.5008,29.69,36.9,22.84,0.1,48.98,4.36,25.11,2015,2,True,False,True,True,3,Alto
2015-02-14,Petrolina/PE,-9.3986,-40.5008,27.68,32.95,23.39,0.03,49.52,3.7,20.46,2015,2,False,False,False,True,1,Baixo
2015-02-15,Petrolina/PE,-9.3986,-40.5008,26.92,30.81,23.19,1.51,57.22,2.96,17.6,2015,2,False,False,False,False,0,Baixo
2015-02-16,Petrolina/PE,-9.3986,-40.5008,28.22,35.7,20.86,1.24,58.34,3.33,23.95,2015,2,True,False,False,False,1,Baixo
